Title,ISBN-10,ISBN-13,Purchase Cost,Shipping Cost,Processing Cost,Net Buying Cost,Vendor,Selling Price,URL_Sell,ROI Amt,ROI %
Civil and Environmental Systems Engineering (2nd Edition),0130478229,9780130478221,46.0,3.99,2,51.99,ValoreBooks,73.04,http://www.valorebooks.com/affiliate/sell/siteID=U1VGnq/ISBN=9780130478221,21.05,40.49
Da Capo (World Languages),1428262741,9781428262744,57.9,3.99,2,63.89,ValoreBooks,77.22,http://www.valorebooks.com/affiliate/sell/siteID=U1VGnq/ISBN=9781428262744,13.33,20.86
Second Thoughts: Critical Thinking for a Diverse Society,0073386707,9780073386706,42.32,3.99,2,48.31,Textbookmaniac,60.71,http://buyback.textbookmaniac.com/affiliates/4f0fba9034ca674d2c20ae8f7b414475df85b448/search?isbn=0073386707,12.40,25.67
Second Thoughts: Critical Thinking for a Diverse Society,0073386707,9780073386706,42.32,3.99,2,48.31,ValoreBooks,60.7,http://www.valorebooks.com/affiliate/sell/siteID=U1VGnq/ISBN=9780073386706,12.39,25.65
Yookoso! Invitation to Contemporary Japanese Student Edition with Online Learning Center Bind-In Card,0072971207,9780072971200,50.0,3.99,2,55.99,Textbookmaniac,72.01,http://buyback.textbookmaniac.com/affiliates/4f0fba9034ca674d2c20ae8f7b414475df85b448/search?isbn=0072971207,16.02,28.61
Yookoso! Invitation to Contemporary Japanese Student Edition with Online Learning Center Bind-In Card,0072971207,9780072971200,50.0,3.99,2,55.99,ValoreBooks,72.0,http://www.valorebooks.com/affiliate/sell/siteID=U1VGnq/ISBN=9780072971200,16.01,28.59
"A que si!, Enhanced (with iLrn Advance Printed Access Card) (World Languages)",1285849256,9781285849256,38.0,3.99,2,43.99,Textbooks.com,60.0,http://textbooks.pxf.io/c/59145/369692/5360?u=https%3A%2F%2Fwww.textbooks.com%2FBuyBack-Cart.php%3FACTION%3Daffadd%26cartisbns%3D9781285849256,16.01,36.39
"A que si!, Enhanced (with iLrn Advance Printed Access Card) (World Languages)",1285849256,9781285849256,38.0,3.99,2,43.99,Booksrun,56.84,https://booksrun.com/api/cart/sell/add/1285849256:Good?afk=360,12.85,29.21
Trusted Criminals: White Collar Crime In Contemporary Society,0495600822,9780495600824,28.0,5.06,2,35.06,sellbackyourbook.com,45.15,https://www.sellbackyourbook.com/allbookstores.php?isbn=0495600822&afid=183,10.09,28.78
Retail Management: A Strategic Approach (13th Edition),0133796841,9780133796841,85.0,3.99,2,90.99,Bookbyte,101.25,https://bookbyte.pxf.io/c/59145/390573/5344?uraw=www.bookbyte.com/buyback2.aspx?isbn=9780133796841,10.26,11.28
Retail Management: A Strategic Approach (13th Edition),0133796841,9780133796841,85.0,3.99,2,90.99,Amazon,101.25,https://www.amazon.com/gp/tradein/add-to-cart.html?asin=0133796841&tag=buybacknew-b-20,10.26,11.28
Police Patrol Operations,1928916104,9781928916109,7.59,4.88,2,14.47,Chegg.com,24.86,http://chggtrx.com/click.track?CID=267636&AFID=372134&ADID=1142321&SID=&isbn_ean=9781928916109,10.39,71.80
Police Patrol Operations,1928916104,9781928916109,7.59,4.88,2,14.47,ValoreBooks,28.89,http://www.valorebooks.com/affiliate/sell/siteID=U1VGnq/ISBN=9781928916109,14.42,99.65
Financial and Managerial Accounting,1259726703,9781259726705,108.99,3.99,2,114.98,ecampus.com,136.96,http://www.kqzyfj.com/click-284433-12088826?item=9781259726705,21.98,19.12
CULTURE,007803504X,9780078035043,29.99,0,2,31.99,Buyback101,43.18,http://www.buyback101.com/bb101api.php?a=1598&akey=697195648c1182e9438d64aaa4136c0a529ad595&view=link&isbn=007803504X,11.19,34.98
"The Human Species: An Introduction to Biological Anthropology, 9th Edition",0078034981,9780078034985,29.99,0,2,31.99,Bookbyte,44.25,https://bookbyte.pxf.io/c/59145/390573/5344?uraw=www.bookbyte.com/buyback2.aspx?isbn=9780078034985,12.26,38.32
"The Human Species: An Introduction to Biological Anthropology, 9th Edition",0078034981,9780078034985,29.99,0,2,31.99,Amazon,44.25,https://www.amazon.com/gp/tradein/add-to-cart.html?asin=0078034981&tag=buybacknew-b-20,12.26,38.32
Engineering Fundamentals of the Internal Combustion Engine (2nd Edition),0131405705,9780131405707,50.5,3.99,2,56.49,Textbookmaniac,77.23,http://buyback.textbookmaniac.com/affiliates/4f0fba9034ca674d2c20ae8f7b414475df85b448/search?isbn=0131405705,20.74,36.71
Engineering Fundamentals of the Internal Combustion Engine (2nd Edition),0131405705,9780131405707,50.5,3.99,2,56.49,ValoreBooks,77.22,http://www.valorebooks.com/affiliate/sell/siteID=U1VGnq/ISBN=9780131405707,20.73,36.70
Human Genetics and Society,0538733217,9780538733212,38.5,5.29,2,45.79,Chegg.com,65.26,http://chggtrx.com/click.track?CID=267636&AFID=372134&ADID=1142321&SID=&isbn_ean=9780538733212,19.47,42.52
Multivariate Data Analysis (7th Edition),0138132631,9780138132637,70.0,3.99,2,75.99,ValoreBooks,87.83,http://www.valorebooks.com/affiliate/sell/siteID=U1VGnq/ISBN=9780138132637,11.84,15.58
"Introductory Botany: Plants, People, and the Environment, Media Edition (with InfoTrac 1-Semester, Premium Web Site Printed Access Card)",0534466699,9780534466695,44.55,3.95,2,50.5,Chegg.com,64.07,http://chggtrx.com/click.track?CID=267636&AFID=372134&ADID=1142321&SID=&isbn_ean=9780534466695,13.57,26.87
"Introductory Botany: Plants, People, and the Environment, Media Edition (with InfoTrac 1-Semester, Premium Web Site Printed Access Card)",0534466699,9780534466695,44.55,3.95,2,50.5,Textbookmaniac,62.68,http://buyback.textbookmaniac.com/affiliates/4f0fba9034ca674d2c20ae8f7b414475df85b448/search?isbn=0534466699,12.18,24.12
"Introductory Botany: Plants, People, and the Environment, Media Edition (with InfoTrac 1-Semester, Premium Web Site Printed Access Card)",0534466699,9780534466695,44.55,3.95,2,50.5,ValoreBooks,69.41,http://www.valorebooks.com/affiliate/sell/siteID=U1VGnq/ISBN=9780534466695,18.91,37.45
Fundamentals of Futures and Options Markets (9th Edition),0134083245,9780134083247,68.0,3.99,2,73.99,sellbackyourbook.com,84.0,https://www.sellbackyourbook.com/allbookstores.php?isbn=0134083245&afid=183,10.01,13.53
Fundamentals of Futures and Options Markets (9th Edition),0134083245,9780134083247,68.0,3.99,2,73.99,Textbookmaniac,87.14,http://buyback.textbookmaniac.com/affiliates/4f0fba9034ca674d2c20ae8f7b414475df85b448/search?isbn=0134083245,13.15,17.77
Fundamentals of Futures and Options Markets (9th Edition),0134083245,9780134083247,68.0,3.99,2,73.99,ValoreBooks,87.13,http://www.valorebooks.com/affiliate/sell/siteID=U1VGnq/ISBN=9780134083247,13.14,17.76
